SKU,LOC,FECHA,UNI
Art02,LOC_049,2019-04-07,8.0
Art02,LOC_049,2019-04-14,9.0
Art02,LOC_049,2019-04-21,9.0
Art02,LOC_049,2019-04-28,10.0
Art02,LOC_049,2019-05-05,5.0
Art02,LOC_049,2019-05-12,6.0
Art02,LOC_049,2019-05-19,5.0
Art02,LOC_049,2019-05-26,5.0
Art02,LOC_049,2019-06-02,10.0
Art02,LOC_049,2019-06-09,7.0
Art02,LOC_049,2019-06-16,7.0
Art02,LOC_049,2019-06-23,6.0
Art02,LOC_050,2019-04-07,2.0
Art02,LOC_050,2019-04-14,4.0
Art02,LOC_050,2019-04-21,4.0
Art02,LOC_050,2019-04-28,5.0
Art02,LOC_050,2019-05-05,1.0
Art02,LOC_050,2019-05-12,3.0
Art02,LOC_050,2019-05-19,6.0
Art02,LOC_050,2019-05-26,2.0
Art02,LOC_050,2019-06-02,4.0
Art02,LOC_050,2019-06-09,2.0
Art02,LOC_050,2019-06-16,4.0
Art02,LOC_050,2019-06-23,3.0
Art02,LOC_051,2019-04-07,7.0
Art02,LOC_051,2019-04-14,10.0
Art02,LOC_051,2019-04-21,3.0
Art02,LOC_051,2019-04-28,12.0
Art02,LOC_051,2019-05-05,10.0
Art02,LOC_051,2019-05-12,18.0
Art02,LOC_051,2019-05-19,13.0
Art02,LOC_051,2019-05-26,10.0
Art02,LOC_051,2019-06-02,11.0
Art02,LOC_051,2019-06-09,14.0
Art02,LOC_051,2019-06-16,13.0
Art02,LOC_051,2019-06-23,9.0
Art02,LOC_052,2019-04-07,18.0
Art02,LOC_052,2019-04-14,19.0
Art02,LOC_052,2019-04-21,9.0
Art02,LOC_052,2019-04-28,7.0
Art02,LOC_052,2019-05-05,10.0
Art02,LOC_052,2019-05-12,10.0
Art02,LOC_052,2019-05-19,12.0
Art02,LOC_052,2019-05-26,16.0
Art02,LOC_052,2019-06-02,12.0
Art02,LOC_052,2019-06-09,9.0
Art02,LOC_052,2019-06-16,9.0
