,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
3500,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0
3501,2.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
3502,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3503,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,5.0,7.0,5.0,5.0,5.0,6.0
3504,4.0,0.0,2.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0
3505,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
3506,1.0,2.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,0.0,4.0,2.0,2.0,2.0,2.0
3507,0.0,0.0,2.0,2.0,3.0,4.0,0.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
3508,5.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3509,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3510,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3511,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3512,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
3513,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0
3514,3.0,3.0,3.0,3.0,0.0,4.0,2.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
3515,1.0,1.0,0.0,3.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0
3516,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3517,3.0,2.0,2.0,4.0,0.0,4.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
3518,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
3519,3.0,1.0,2.0,5.0,4.0,3.0,5.0,7.0,5.0,6.0,3.0,5.0,6.0,6.0,6.0,7.0
3520,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3521,5.0,6.0,3.0,5.0,7.0,4.0,4.0,4.0,5.0,6.0,6.0,3.0,5.0,5.0,5.0,5.0
3522,3.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-0.0
3523,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3524,2.0,5.0,4.0,6.0,7.0,2.0,4.0,7.0,5.0,6.0,9.0,2.0,6.0,6.0,6.0,6.0
3525,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
3526,2.0,1.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0
3527,2.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,5.0,7.0,4.0,4.0,5.0,5.0,6.0,6.0
3528,2.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3529,3.0,6.0,5.0,5.0,2.0,4.0,8.0,3.0,8.0,4.0,8.0,5.0,6.0,7.0,7.0,7.0
3530,4.0,10.0,8.0,7.0,9.0,10.0,10.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
3531,3.0,1.0,7.0,4.0,5.0,4.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
3532,2.0,7.0,4.0,1.0,2.0,5.0,4.0,4.0,7.0,2.0,7.0,5.0,5.0,6.0,6.0,6.0
3533,1.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3534,4.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
3535,3.0,11.0,3.0,5.0,9.0,9.0,4.0,6.0,8.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0
3536,2.0,5.0,8.0,8.0,4.0,3.0,4.0,2.0,5.0,4.0,6.0,7.0,5.0,5.0,5.0,5.0
3537,6.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,1.0,6.0,2.0,3.0,3.0,2.0,2.0,2.0
3538,0.0,3.0,1.0,2.0,0.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0
3539,6.0,4.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
3540,2.0,0.0,2.0,0.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
3541,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
3542,9.0,7.0,11.0,8.0,8.0,9.0,7.0,6.0,2.0,2.0,2.0,1.0,1.0,-0.0,1.0,1.0
3543,4.0,4.0,7.0,5.0,4.0,7.0,8.0,5.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
3544,2.0,11.0,4.0,4.0,6.0,1.0,7.0,3.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
3545,3.0,3.0,2.0,6.0,6.0,7.0,6.0,2.0,4.0,2.0,10.0,7.0,7.0,7.0,7.0,8.0
3546,3.0,5.0,5.0,5.0,3.0,3.0,4.0,6.0,9.0,10.0,6.0,11.0,10.0,10.0,11.0,11.0
3547,5.0,4.0,4.0,4.0,2.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
3548,4.0,9.0,11.0,6.0,5.0,6.0,5.0,5.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0
3549,3.0,5.0,4.0,6.0,11.0,5.0,7.0,5.0,5.0,1.0,7.0,2.0,4.0,4.0,4.0,4.0
3550,1.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0
3551,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
3552,2.0,6.0,11.0,8.0,5.0,3.0,7.0,13.0,11.0,9.0,4.0,9.0,9.0,10.0,10.0,10.0
3553,16.0,19.0,17.0,8.0,16.0,14.0,18.0,24.0,27.0,21.0,31.0,13.0,24.0,25.0,25.0,26.0
3554,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0
3555,3.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,-0.0
3556,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0
3557,2.0,1.0,0.0,1.0,3.0,2.0,2.0,5.0,5.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0
3558,1.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0
3559,4.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3560,3.0,2.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0
3561,0.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0
3562,0.0,2.0,2.0,1.0,5.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
3563,4.0,6.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0
3564,0.0,1.0,0.0,3.0,3.0,0.0,1.0,7.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
3565,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0
3566,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
3567,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3568,6.0,7.0,5.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,-0.0
3569,2.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0
3570,3.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
3571,2.0,5.0,3.0,3.0,5.0,5.0,7.0,6.0,9.0,6.0,8.0,8.0,9.0,9.0,10.0,11.0
